test_name,test_status,test_result
parmioinf3w_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioinf3e_ssn_continuity,PASS,PASS
parscfubruioadaktype1_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioinf2e_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmioinf1e_ssn_continuity,PASS,PASS
parmioinf2w_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parhwrsfuse_ssn_continuity,PASS,PASS
parmioinf1w_ssn_continuity,PASS,PASS
parmioinf1w_stuckat_edt_edt_low_internal_loopback,PASS,PASS
pargpios5_ssn_continuity,PASS,PASS
