partition,test_type,status,owner,model
parmiocpc_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmiocpc_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmiocxlrx_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmiootc_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmiopcie6trcore_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww11a
parmioula_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww11a
